date,price
2020/7/3,10930
2020/7/4,10318
2020/7/5,10595
2020/7/6,10972
2020/7/7,7706
2020/7/8,6756
2020/7/9,9092
2020/7/10,10551
2020/7/11,9722
2020/7/12,10913
2020/7/13,11151
2020/7/14,8186
2020/7/15,6422
2020/7/16,6337
2020/7/17,11649
2020/7/18,11652
2020/7/19,10310
2020/7/20,12043
2020/7/21,7937
2020/7/22,6476
2020/7/23,9662
2020/7/24,9570
2020/7/25,9981
2020/7/26,9331
2020/7/27,9449
2020/7/28,6773
2020/7/29,6304
2020/7/30,9355
2020/7/31,10477
2020/8/1,10148
2020/8/2,10395
2020/8/3,11261
2020/8/4,8713
2020/8/5,7299
2020/8/6,10424
2020/8/7,10795
2020/8/8,11069
2020/8/9,11602
2020/8/10,11427
2020/8/11,9095
2020/8/12,7707
2020/8/13,10767
2020/8/14,12136
2020/8/15,12812
2020/8/16,12006
2020/8/17,12528
2020/8/18,10329
2020/8/19,7818
2020/8/20,11719
2020/8/21,11683
2020/8/22,12603
2020/8/23,11495
2020/8/24,13670
2020/8/25,11337
2020/8/26,10232
2020/8/27,13261
2020/8/28,13230
2020/8/29,15535
2020/8/30,16837
2020/8/31,19598
2020/9/1,14823
2020/9/2,11622
2020/9/3,19391
2020/9/4,18177
2020/9/5,19994
2020/9/6,14723
2020/9/7,15694
2020/9/8,13248
2020/9/9,9543
2020/9/10,12872
2020/9/11,13101
2020/9/12,15053
2020/9/13,12619
2020/9/14,13749
2020/9/15,10228
2020/9/16,9725
2020/9/17,14729
2020/9/18,12518
2020/9/19,14564
2020/9/20,15085
2020/9/21,14722
2020/9/22,11999
2020/9/23,9390
2020/9/24,13481
2020/9/25,14795
2020/9/26,15845
2020/9/27,15271
2020/9/28,14686
2020/9/29,11054
2020/9/30,10395
